,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
4,NIFTY2161716250CE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:02.222887,2.1,NA,5minute
5,NIFTY2161715700PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:02.439857,23.6,NA,5minute
6,NIFTY2161715550PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:03.024460,6.15,NA,5minute
7,NIFTY2161715400PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:03.678523,3.55,NA,5minute
8,NIFTY2161715300PE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:04.063528,2.8,NA,5minute
9,BANKNIFTY2161735200CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:04.616840,180.85,NA,5minute
10,BANKNIFTY2161735300CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:04.820849,138.0,NA,5minute
11,BANKNIFTY2161735500CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:05.214670,76.45,NA,5minute
12,BANKNIFTY2161735600CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:05.400124,55.5,NA,5minute
13,BANKNIFTY2161735700CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:05.609110,40.7,NA,5minute
14,BANKNIFTY2161735800CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:05.819338,30.6,NA,5minute
15,BANKNIFTY2161736000CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:06.241902,19.6,NA,5minute
16,BANKNIFTY2161734700PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:07.214891,63.65,NA,5minute
17,BANKNIFTY2161734600PE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:07.394741,50.7,NA,5minute
,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
0,NIFTY2161715800CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:00.389707,57.6,NA,5minute
1,NIFTY2161715850CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:00.588266,35.9,NA,5minute
2,NIFTY2161715900CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:00.790355,21.1,NA,5minute
3,NIFTY2161716050CE,-1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:01.392644,4.1,NA,5minute
4,NIFTY2161716250CE,1,2021-06-16 11:05:00+05:30,2021-06-16 11:05:00+05:30,2021-06-16 11:05:02.222887,2.1,NA,5minute
5,NIFTY2161715700PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:05:02.439857,23.6,NA,5minute
